Hotel Name,Location,Price per Night (USD),Amenities,Category,Rating,Number of Reviews,Room Type,Meal Plan,Distance to Landmark,Country
Coastal Breeze,Phuket,62,"Beach Access, Parking, Free WiFi, Restaurant, Airport Shuttle",Boutique Hotel,3.3,1445,Single,Breakfast Only,20 km from Beach,Thailand
Riverbend Hotel,Dubai,108,"Free WiFi, Pet-friendly, Spa",Mountain Lodge,5.0,250,Suite,Breakfast Only,14 km from Airport,UAE
City Lights Inn,Bali,386,"Gym, Airport Shuttle, Pet-friendly, Beach Access, Pool, Bar",Luxury Resort,4.0,1404,Double,Breakfast Only,1 km from City Center,Indonesia
Palm Grove Lodge,Tokyo,177,"Free WiFi, Beach Access, Restaurant, Parking, Gym",Luxury Resort,3.6,309,Deluxe Suite,All Inclusive,1 km from City Center,Japan
Riverbend Hotel,Sydney,105,"Pool, Airport Shuttle, Gym, Beach Access, Free WiFi",Boutique Hotel,3.9,1710,Suite,Half Board,18 km from Museum,Australia
Lakeside Haven,Phuket,233,"Restaurant, Free WiFi, Pet-friendly, Spa, Parking",Boutique Hotel,4.0,1392,Suite,Half Board,2 km from Shopping Mall,Thailand
Coastal Breeze,Paris,396,"Spa, Airport Shuttle, Parking, Restaurant",Mountain Lodge,3.1,1982,Single,Half Board,18 km from Beach,France
Skyline Suites,Cape Town,123,"Pool, Beach Access, Gym, Free WiFi, Pet-friendly, Bar",Beach Resort,3.4,1266,Single,Half Board,9 km from Museum,South Africa
Coastal Breeze,Sydney,204,"Restaurant, Beach Access, Parking, Pool, Spa, Bar",Mountain Lodge,4.7,464,Suite,All Inclusive,18 km from City Center,Australia
Palm Grove Lodge,Paris,359,"Gym, Free WiFi, Parking, Pool",City Hotel,5.0,399,Suite,Half Board,13 km from Shopping Mall,France
Coastal Breeze,Rome,366,"Gym, Beach Access, Airport Shuttle",Mountain Lodge,3.1,480,Suite,Full Board,8 km from Shopping Mall,Italy
Palm Grove Lodge,Tokyo,173,"Free WiFi, Bar, Pet-friendly, Airport Shuttle, Parking, Beach Access",Mountain Lodge,3.7,595,Deluxe Suite,Half Board,4 km from Beach,Japan
Ocean View Retreat,Sydney,158,"Beach Access, Gym, Pool, Restaurant",City Hotel,4.3,506,Single,Half Board,17 km from Shopping Mall,Australia
Coastal Breeze,New York,270,"Airport Shuttle, Gym, Pet-friendly, Pool",Luxury Resort,3.9,1418,Single,Full Board,7 km from Airport,USA
Palm Grove Lodge,Dubai,121,"Spa, Pool, Restaurant, Free WiFi, Pet-friendly, Gym",Beach Resort,3.3,1667,Family Room,Half Board,1 km from Beach,UAE
Ocean View Retreat,Cape Town,341,"Gym, Parking, Beach Access, Free WiFi, Airport Shuttle",Mountain Lodge,3.7,1178,Single,All Inclusive,2 km from City Center,South Africa
Palm Grove Lodge,Goa,210,"Free WiFi, Bar, Parking, Airport Shuttle",Boutique Hotel,3.9,877,Suite,Full Board,13 km from Shopping Mall,India
City Lights Inn,Phuket,100,"Spa, Beach Access, Airport Shuttle, Parking, Bar",City Hotel,3.2,834,Single,Full Board,9 km from City Center,Thailand
Lakeside Haven,Sydney,493,"Pet-friendly, Airport Shuttle, Restaurant, Free WiFi, Spa, Bar",Mountain Lodge,3.7,1744,Suite,Breakfast Only,13 km from City Center,Australia
City Lights Inn,Sydney,167,"Pool, Beach Access, Spa",Boutique Hotel,4.2,1247,Single,All Inclusive,17 km from Beach,Australia
Mountain Escape,Sydney,180,"Beach Access, Parking, Gym, Pool, Pet-friendly, Airport Shuttle",Mountain Lodge,4.3,1511,Deluxe Suite,All Inclusive,10 km from Beach,Australia
Mountain Escape,Rome,405,"Pet-friendly, Bar, Airport Shuttle, Restaurant, Gym, Parking",City Hotel,4.8,1909,Deluxe Suite,Breakfast Only,7 km from Shopping Mall,Italy
Mountain Escape,Dubai,308,"Pool, Beach Access, Free WiFi, Gym",Luxury Resort,4.2,187,Single,All Inclusive,8 km from Beach,UAE
City Lights Inn,New York,290,"Bar, Pool, Gym, Free WiFi, Pet-friendly, Spa",Boutique Hotel,3.3,1272,Double,All Inclusive,7 km from Airport,USA
Lakeside Haven,Sydney,387,"Pool, Airport Shuttle, Spa, Pet-friendly, Beach Access, Free WiFi",Mountain Lodge,4.6,1361,Double,Breakfast Only,8 km from Beach,Australia
Skyline Suites,Sydney,306,"Pool, Airport Shuttle, Pet-friendly",Luxury Resort,3.1,193,Single,All Inclusive,18 km from Beach,Australia
Sunset Paradise,Rome,311,"Beach Access, Restaurant, Airport Shuttle, Spa",Beach Resort,4.1,565,Single,All Inclusive,14 km from Shopping Mall,Italy
Palm Grove Lodge,Cape Town,357,"Parking, Beach Access, Restaurant, Airport Shuttle, Pet-friendly, Gym",City Hotel,4.3,1740,Single,All Inclusive,13 km from Shopping Mall,South Africa
Riverbend Hotel,Paris,127,"Restaurant, Spa, Beach Access",Boutique Hotel,3.6,1605,Single,Full Board,20 km from Airport,France
Palm Grove Lodge,Rome,431,"Parking, Restaurant, Pet-friendly",Beach Resort,4.4,1883,Single,All Inclusive,19 km from Museum,Italy
Palm Grove Lodge,Phuket,220,"Parking, Bar, Gym, Pool, Spa",City Hotel,3.1,1786,Single,Full Board,17 km from Museum,Thailand
Mountain Escape,Tokyo,381,"Free WiFi, Spa, Pool, Airport Shuttle, Bar, Gym",Boutique Hotel,4.8,1644,Family Room,Breakfast Only,13 km from Shopping Mall,Japan
City Lights Inn,Cape Town,445,"Free WiFi, Parking, Beach Access",City Hotel,3.4,244,Family Room,All Inclusive,5 km from City Center,South Africa
Sunset Paradise,Phuket,475,"Spa, Gym, Pool, Pet-friendly, Beach Access, Bar",Boutique Hotel,3.0,712,Suite,Full Board,20 km from Airport,Thailand
Coastal Breeze,New York,146,"Spa, Gym, Pool, Restaurant, Parking",City Hotel,4.8,766,Family Room,Breakfast Only,2 km from Airport,USA
Riverbend Hotel,Bali,418,"Restaurant, Bar, Pool",Mountain Lodge,4.0,1422,Suite,Half Board,10 km from Museum,Indonesia
City Lights Inn,Tokyo,479,"Bar, Pet-friendly, Beach Access, Spa, Gym, Restaurant",Luxury Resort,3.4,1466,Single,Half Board,8 km from Shopping Mall,Japan
Golden Sands Resort,Cape Town,181,"Pool, Bar, Gym, Beach Access",Mountain Lodge,4.9,733,Double,Breakfast Only,18 km from Shopping Mall,South Africa
Sunset Paradise,Cape Town,363,"Free WiFi, Pool, Beach Access",Beach Resort,4.3,1437,Double,Half Board,15 km from City Center,South Africa
Lakeside Haven,Sydney,67,"Restaurant, Parking, Spa, Airport Shuttle",City Hotel,4.3,1135,Double,All Inclusive,11 km from Museum,Australia
Lakeside Haven,Bali,172,"Airport Shuttle, Bar, Pool, Free WiFi",City Hotel,3.7,835,Single,Breakfast Only,12 km from Shopping Mall,Indonesia
Golden Sands Resort,Goa,132,"Gym, Free WiFi, Restaurant, Pool",Mountain Lodge,3.9,709,Single,Breakfast Only,1 km from Beach,India
Sunset Paradise,Tokyo,419,"Beach Access, Free WiFi, Bar, Parking",City Hotel,4.3,508,Deluxe Suite,All Inclusive,15 km from Museum,Japan
Skyline Suites,Rome,327,"Parking, Bar, Airport Shuttle, Pet-friendly, Gym, Restaurant",Beach Resort,3.1,343,Single,Breakfast Only,16 km from Airport,Italy
Coastal Breeze,Paris,396,"Bar, Spa, Pet-friendly, Pool, Beach Access",City Hotel,4.8,438,Family Room,Full Board,17 km from Airport,France
Palm Grove Lodge,Phuket,469,"Parking, Pool, Free WiFi, Gym, Spa",City Hotel,4.1,258,Deluxe Suite,Breakfast Only,5 km from City Center,Thailand
Golden Sands Resort,Bali,460,"Spa, Pet-friendly, Restaurant, Bar",Beach Resort,4.9,1396,Double,All Inclusive,12 km from Beach,Indonesia
Lakeside Haven,Tokyo,196,"Pet-friendly, Gym, Beach Access, Spa, Bar, Restaurant",Boutique Hotel,4.1,1050,Single,Breakfast Only,7 km from Shopping Mall,Japan
Sunset Paradise,Goa,69,"Free WiFi, Pet-friendly, Airport Shuttle, Spa, Bar, Restaurant",Mountain Lodge,3.9,1995,Family Room,Full Board,9 km from Airport,India
Ocean View Retreat,Phuket,55,"Restaurant, Beach Access, Free WiFi",Boutique Hotel,3.1,1065,Suite,Half Board,14 km from Beach,Thailand
Sunset Paradise,Goa,189,"Pool, Parking, Restaurant, Pet-friendly, Gym",Mountain Lodge,3.2,728,Family Room,All Inclusive,20 km from Beach,India
Golden Sands Resort,Phuket,466,"Free WiFi, Airport Shuttle, Spa",Beach Resort,3.2,978,Deluxe Suite,All Inclusive,19 km from Museum,Thailand
Lakeside Haven,Goa,449,"Free WiFi, Airport Shuttle, Restaurant",Luxury Resort,4.9,225,Family Room,All Inclusive,4 km from Museum,India
Sunset Paradise,Goa,313,"Pool, Bar, Spa",City Hotel,3.5,1866,Single,Breakfast Only,8 km from Shopping Mall,India
Riverbend Hotel,Bali,221,"Bar, Spa, Pet-friendly, Gym, Parking",Mountain Lodge,4.7,1303,Family Room,Half Board,2 km from Shopping Mall,Indonesia
Lakeside Haven,New York,467,"Spa, Free WiFi, Pet-friendly, Beach Access, Pool, Restaurant",Luxury Resort,4.9,841,Family Room,Breakfast Only,15 km from Museum,USA
Lakeside Haven,Phuket,340,"Spa, Parking, Airport Shuttle",Beach Resort,4.6,1324,Deluxe Suite,All Inclusive,7 km from Airport,Thailand
Coastal Breeze,Cape Town,446,"Gym, Spa, Restaurant, Beach Access, Bar",Boutique Hotel,3.2,821,Single,All Inclusive,3 km from Museum,South Africa
Palm Grove Lodge,Dubai,262,"Beach Access, Restaurant, Pool, Pet-friendly, Spa",Mountain Lodge,3.9,672,Suite,Full Board,14 km from Airport,UAE
Sunset Paradise,Phuket,455,"Bar, Airport Shuttle, Free WiFi, Restaurant, Pet-friendly, Parking",City Hotel,4.9,766,Suite,Breakfast Only,14 km from Shopping Mall,Thailand
Palm Grove Lodge,New York,216,"Bar, Free WiFi, Gym, Pet-friendly, Spa",Mountain Lodge,3.5,1481,Deluxe Suite,Half Board,4 km from Museum,USA
Sunset Paradise,New York,491,"Pet-friendly, Parking, Spa, Gym",Mountain Lodge,3.5,698,Suite,All Inclusive,18 km from City Center,USA
Sunset Paradise,Rome,387,"Bar, Spa, Airport Shuttle, Parking",City Hotel,3.2,162,Double,Half Board,8 km from Airport,Italy
City Lights Inn,Tokyo,181,"Bar, Pet-friendly, Pool, Parking",City Hotel,4.7,1577,Single,Half Board,11 km from Shopping Mall,Japan
Palm Grove Lodge,Rome,437,"Parking, Free WiFi, Pool, Restaurant",Beach Resort,4.4,1846,Family Room,Full Board,20 km from Airport,Italy
Lakeside Haven,Cape Town,500,"Beach Access, Airport Shuttle, Pool, Parking, Pet-friendly",Luxury Resort,3.9,911,Double,Breakfast Only,13 km from City Center,South Africa
Coastal Breeze,Phuket,241,"Spa, Gym, Pool, Bar, Pet-friendly, Restaurant",Mountain Lodge,5.0,1524,Family Room,Full Board,16 km from Shopping Mall,Thailand
Golden Sands Resort,Paris,430,"Beach Access, Restaurant, Spa, Parking, Airport Shuttle, Free WiFi",Mountain Lodge,3.7,218,Deluxe Suite,Half Board,5 km from Airport,France
Palm Grove Lodge,Sydney,176,"Parking, Bar, Restaurant, Pool, Free WiFi",Boutique Hotel,4.7,377,Suite,All Inclusive,18 km from City Center,Australia
Palm Grove Lodge,Goa,500,"Restaurant, Pet-friendly, Bar, Parking, Beach Access",City Hotel,3.3,1657,Deluxe Suite,Breakfast Only,8 km from Museum,India
Golden Sands Resort,Phuket,316,"Restaurant, Airport Shuttle, Parking, Bar, Pet-friendly, Free WiFi",Beach Resort,4.3,683,Single,Full Board,4 km from Shopping Mall,Thailand
Riverbend Hotel,Bali,205,"Pool, Free WiFi, Parking",Luxury Resort,3.3,896,Deluxe Suite,Breakfast Only,16 km from Airport,Indonesia
Skyline Suites,Bali,379,"Bar, Pool, Beach Access, Gym",Luxury Resort,4.9,894,Single,Breakfast Only,13 km from Beach,Indonesia
Ocean View Retreat,Tokyo,173,"Spa, Airport Shuttle, Bar, Pet-friendly, Pool",Beach Resort,3.1,745,Deluxe Suite,Breakfast Only,17 km from Shopping Mall,Japan
Coastal Breeze,Cape Town,498,"Free WiFi, Spa, Airport Shuttle",Luxury Resort,4.6,1811,Family Room,Full Board,3 km from Beach,South Africa
Sunset Paradise,Paris,336,"Restaurant, Bar, Parking, Pet-friendly, Pool",City Hotel,3.2,1567,Deluxe Suite,Half Board,18 km from Airport,France
Sunset Paradise,Bali,93,"Restaurant, Gym, Pet-friendly",Boutique Hotel,4.9,1285,Family Room,Breakfast Only,1 km from Beach,Indonesia
Palm Grove Lodge,Tokyo,73,"Spa, Parking, Bar, Pet-friendly, Airport Shuttle, Free WiFi",Boutique Hotel,3.3,186,Suite,Half Board,7 km from Beach,Japan
Sunset Paradise,Sydney,306,"Pet-friendly, Gym, Pool",Beach Resort,4.8,1783,Family Room,All Inclusive,16 km from Beach,Australia
City Lights Inn,Cape Town,202,"Pet-friendly, Bar, Airport Shuttle",Beach Resort,3.3,739,Double,Full Board,7 km from Airport,South Africa
Riverbend Hotel,New York,252,"Spa, Airport Shuttle, Bar",Mountain Lodge,3.8,1039,Suite,All Inclusive,10 km from Airport,USA
Mountain Escape,Phuket,422,"Restaurant, Parking, Gym",Boutique Hotel,4.4,1209,Double,Breakfast Only,2 km from Beach,Thailand
Ocean View Retreat,Dubai,278,"Restaurant, Spa, Pool",Mountain Lodge,4.3,987,Double,Full Board,3 km from Shopping Mall,UAE
Riverbend Hotel,Tokyo,441,"Pet-friendly, Spa, Bar",City Hotel,4.2,1779,Deluxe Suite,All Inclusive,18 km from Museum,Japan
Sunset Paradise,Paris,266,"Airport Shuttle, Free WiFi, Restaurant",Mountain Lodge,3.9,137,Family Room,Breakfast Only,3 km from Beach,France
Coastal Breeze,Dubai,397,"Spa, Restaurant, Bar, Free WiFi",Boutique Hotel,4.9,1113,Single,Breakfast Only,14 km from City Center,UAE
Coastal Breeze,Cape Town,57,"Restaurant, Pet-friendly, Beach Access, Bar",Beach Resort,4.7,1222,Family Room,Half Board,17 km from Airport,South Africa
Lakeside Haven,Paris,455,"Restaurant, Pool, Gym",Mountain Lodge,4.8,1219,Single,Full Board,16 km from Shopping Mall,France
City Lights Inn,Tokyo,470,"Parking, Airport Shuttle, Bar",Mountain Lodge,3.4,168,Deluxe Suite,All Inclusive,15 km from Airport,Japan
Riverbend Hotel,Rome,435,"Pool, Pet-friendly, Free WiFi",Mountain Lodge,4.4,1560,Single,Breakfast Only,5 km from Airport,Italy
Golden Sands Resort,Rome,308,"Bar, Beach Access, Parking, Spa, Gym, Airport Shuttle",Luxury Resort,3.6,1159,Suite,Breakfast Only,14 km from Beach,Italy
Golden Sands Resort,Cape Town,265,"Free WiFi, Parking, Spa, Pet-friendly, Gym, Airport Shuttle",Luxury Resort,3.0,229,Double,All Inclusive,9 km from Beach,South Africa
Mountain Escape,Sydney,279,"Free WiFi, Airport Shuttle, Bar, Restaurant, Spa, Beach Access",Boutique Hotel,4.7,870,Family Room,All Inclusive,7 km from Beach,Australia
Skyline Suites,Bali,191,"Pool, Parking, Spa, Free WiFi",Luxury Resort,3.4,798,Double,Full Board,18 km from Beach,Indonesia
Lakeside Haven,Goa,160,"Beach Access, Pool, Gym, Parking",City Hotel,4.7,1642,Deluxe Suite,Half Board,14 km from City Center,India
Mountain Escape,Tokyo,493,"Beach Access, Parking, Airport Shuttle",Luxury Resort,4.5,724,Single,Half Board,19 km from Museum,Japan
City Lights Inn,Phuket,288,"Pet-friendly, Restaurant, Gym",Luxury Resort,3.1,149,Suite,Full Board,14 km from Museum,Thailand
Mountain Escape,Goa,412,"Parking, Pool, Gym, Restaurant, Spa, Free WiFi",Beach Resort,4.4,1526,Double,Full Board,7 km from Shopping Mall,India
Skyline Suites,Cape Town,430,"Free WiFi, Parking, Pool",Beach Resort,4.6,1620,Family Room,Full Board,3 km from Shopping Mall,South Africa
Sunset Paradise,Cape Town,172,"Airport Shuttle, Beach Access, Parking, Spa, Pet-friendly, Gym",Luxury Resort,4.5,1046,Deluxe Suite,All Inclusive,6 km from Museum,South Africa
Coastal Breeze,New York,474,"Pet-friendly, Free WiFi, Parking, Pool, Beach Access, Spa",Luxury Resort,3.2,192,Deluxe Suite,Half Board,12 km from City Center,USA
Coastal Breeze,Sydney,340,"Pool, Beach Access, Restaurant",Boutique Hotel,4.3,1809,Deluxe Suite,Half Board,4 km from Shopping Mall,Australia
